INSTRUMENTO,Data,COTA/ELEVATION(m),THERMISTOR/ELECTRICAL RESISTANCE(Ohm),MCA/WATER LEVEL(m),FREQUENCIA/FREQUENCY(Hz),KPA/PRESSURE(kPA),TEMPERATURA/TEMPERATURE(°C),COTA_LOCAL/ELEVATION(m)
BA1-PZE-01 (2),2020-10-29 09:00:00,1.080335746114,2330.494,4.98133574611365,2872.516,48.8488712340746,30.7987733705899,54.880335746114
BA1-PZE-01 (2),2020-10-29 21:00:00,1.079301003619,2330.281,4.98030100361856,2872.531,48.8387241559664,30.8009296915811,54.879301003619
BA1-PZE-01 (2),2020-10-30 09:00:00,1.079916028088,2329.986,4.98091602808793,2872.521,48.8447553196215,30.8039165155665,54.879916028088
BA1-PZE-01 (2),2020-10-30 21:00:00,1.080554670683,2329.829,4.98155467068285,2872.511,48.8510180915921,30.8055062886747,54.880554670683
BA1-PZE-01 (2),2020-10-31 09:00:00,1.080727214508,2329.282,4.9817272145081,2872.507,48.8527101219087,30.8110461310303,54.880727214508
BA1-PZE-01 (2),2020-10-31 21:00:00,1.079489609552,2329.439,4.98048960955194,2872.526,48.8405736974192,30.8094559335794,54.879489609552
BA1-PZE-01 (2),2020-11-01 09:00:00,1.079330832203,2328.512,4.98033083220331,2872.526,48.8390166664034,30.8188469529746,54.879330832203
BA1-PZE-01 (2),2020-11-01 21:00:00,1.081734153503,2328.944,4.98273415350302,2872.491,48.8625845483299,30.814470026951,54.881734153503
BA1-PZE-01 (2),2020-11-02 09:00:00,1.079762260023,2329.088,4.98076226002296,2872.521,48.8432474115451,30.8130112566784,54.879762260023
BA1-PZE-01 (2),2020-11-02 21:00:00,1.079540050629,2327.791,4.98054005062877,2872.521,48.8410683417859,30.8261540175903,54.879540050629
BA1-PZE-01 (2),2020-11-03 09:00:00,1.084754759436,2327.541,4.98575475943578,2872.442,48.8922057579368,30.8286882745043,54.884754759436
BA1-PZE-01 (2),2020-11-03 21:00:00,1.077509366082,2327.592,4.97850936608167,2872.551,48.8211546774569,30.8281712609738,54.877509366082
BA1-PZE-01 (2),2020-11-04 09:00:00,1.075427058193,2327.092,4.97642705819334,2872.581,48.8007347750266,30.8332405768622,54.875427058193
BA1-PZE-01 (2),2020-11-04 21:00:00,1.078792083428,2327.31,4.97979208342772,2872.531,48.8337334911847,30.8310302029304,54.878792083428
BA1-PZE-01 (2),2020-11-05 09:00:00,1.081433593617,2327.19,4.9824335936167,2872.491,48.8596371438717,30.8322468934065,54.881433593617
BA1-PZE-01 (2),2020-11-05 21:00:00,1.084074513178,2327.455,4.98507451317845,2872.452,48.885535004644,30.8295601304069,54.884074513178
BA1-PZE-01 (2),2020-11-06 09:00:00,1.07759488966,2326.15,4.9785948896605,2872.546,48.8219933541704,30.8427945322801,54.87759488966
BA1-PZE-01 (2),2020-11-06 21:00:00,1.076301216993,2326.368,4.97730121699261,2872.566,48.8093071083926,30.8405831409292,54.876301216993
BA1-PZE-01 (2),2020-11-07 09:00:00,1.083882655154,2326.336,4.98488265515438,2872.452,48.8836535719544,30.8409077340835,54.883882655154
BA1-PZE-01 (2),2020-11-07 21:00:00,1.077903640327,2326.01,4.97890364032711,2872.541,48.8250210805316,30.8442148160844,54.877903640327
BA1-PZE-01 (2),2020-11-08 09:00:00,1.080547205178,2325.902,4.98154720517805,2872.501,48.8509448820149,30.8453105299836,54.880547205178
BA1-PZE-01 (2),2020-11-08 21:00:00,1.080811513492,2325.503,4.98181151349213,2872.496,48.8535367897798,30.8493590856608,54.880811513492
BA1-PZE-01 (2),2020-11-09 09:00:00,1.0810988022,2325.238,4.9820988022005,2872.491,48.8563540520245,30.8520484123882,54.8810988022
BA1-PZE-01 (2),2020-11-09 21:00:00,1.0799548605,2324.777,4.9809548605003,2872.507,48.8451361250135,30.856727656333,54.8799548605
BA1-PZE-01 (2),2020-11-10 09:00:00,1.084223872552,2324.446,4.98522387255173,2872.442,48.8869996794146,30.8600880243363,54.884223872552
